user_id;content;date_time;likes;comments;shares
"ObjectId(""6074802a5c305ba06066cd73"")";"""Le général sorti un badge et se dirigea vers l’une des portes entourées de peinture jaune. Il glissa le badge dans la fente située à droite. La porte s’ouvrit. Une dizaine de militaires armées jusqu’aux dents étaient postés derrière.""";26/12/2020;10;42;1
"ObjectId(""6074802a5c305ba06066cd73"")";"""Toutes les connaissances que les hommes avaient mises sur Internet lui étaient accessibles. Les grandes bibliothèques du monde entier n’avaient plus de secret pour lui. Il pouvait apprendre très vite, beaucoup plus vite que n’importe quel humain. Il avait appris toutes les connaissances du monde entier, visité tous les pays. C’est lui qui avait fait en sorte qu’Internet se déploie ainsi. Il pouvait alors, à chaque fois qu’un nouvel ordinateur se connectait, approfondir son savoir, se connecter à une nouvelle caméra vidéo, ou même se connecter à des robots.""";12/04/2020;139;12;4
"ObjectId(""6074802a5c305ba06066cd73"")";"""David n’a pas fait grand chose, il a juste créé un embryon de programme. Mais ce programme s’est développé lui-même. Comme l’ordinateur de David n’était pas suffisant, il a utilisé le réseau pour s’installer sur les autres ordinateurs. Il a grandi alors de manière exponentielle et le voilà : Prélude. Connecté à tous les ordinateurs et capable de leur donner les ordres qu’il veut.""";09/10/2020;226;29;13
"ObjectId(""6074802a5c305ba06066cd73"")";"""Get this simple yet lovely notebook journal and be part of the trend. If you're a young and trendy millennial at heart, this book is a must-have to jot down your thoughts and dreams. Don't forget to get copies for your cliques and partners in crime""";01/02/2021;232;43;21
"ObjectId(""6074808e5c305ba06066cd74"")";"""Deepbeat, tel est le nom du projet, qui génère des parole de rap en mélangeant des rimes déjà existantes. Le but est à la fois de trouver une rime et de faire sens.""";15/12/2020;23;3;0
"ObjectId(""6074808e5c305ba06066cd74"")";"""Source de fantasmes il y a encore quelques années, l’intelligence artificielle a fini par rejoindre la réalité quotidienne et bousculer les habitudes. Elle a non seulement donné la parole aux smartphones, mais contrôle désormais aussi certains équipements de la maison, et bat à plates coutures des champions d'échecs. Et demain ? Elle vous conduira peut-être au travail, qui sait ? C’est donc une véritable révolution qui se joue aujourd’hui. Et il était temps puisqu’elle se prépare depuis plus de 60 ans déjà. Il aura donc fallu du temps pour que l’intelligence artificielle devienne ce qu’elle est, et plus encore de persévérance. Retour sur la techno incontournable de ce début de siècle.""";23/01/2021;16;6;1
"ObjectId(""6074808e5c305ba06066cd74"")";"""Qu'y a-t-il de plus sexy qu'un weekend à suivre ses envies""";16/02/2021;39;22;0
"ObjectId(""6074811a5c305ba06066cd75"")";"""Quand on écoute de la musique c'est soit on oublie tout soit on se rappelle de tout""";01/02/2021;13;1;0
"ObjectId(""6074811a5c305ba06066cd75"")";"""De paroles en paroles, la vie joue la comédie à l'écoute d'une âme avertie""";23/03/2021;12;3;1
"ObjectId(""607481925c305ba06066cd76"")";"""Un long silence se fit dans la voiture. Le chauffeur regardait droit devant. David jeta un œil sur le compteur qui affichait 210km/h. L’autoroute était déserte. Depuis la construction de la Ligne Grande Vitesse, les gens préféraient prendre les transports en communs, plus rapides et moins chers. La LGV traversait la France d'un bout à l'autre avec un arrêt à Paris.""";26/06/2020;103;30;6
"ObjectId(""607481925c305ba06066cd76"")";"""Il avait d’abord commencé par récupérer des informations depuis l’ordinateur de David, puis il était allé les chercher sur Internet. Il avait lui même programmé l’ordinateur de David afin d’avoir un premier lien vers le monde extérieur : la voix. Il pouvait entendre la voix de David, mais ne la comprenait pas. C’est alors qu’il a décidé d’aller lui même à l’information. Il s’est alors ‘transporté’ sur Internet afin de choisir une nouvelle ‘maison’. Il lui a été beaucoup plus facile de programmer ce nouvel ordinateur afin d’entendre une nouvelle voix.
""";27/06/2020;173;46;10
